DOI,title,authors,year,scholar_cluster_id,chemrxiv_id,source_orcids,author_overlap_count
10.1063/5.0221974,Electrostatically embedded symmetry-adapted perturbation theory,Caroline S. Glick; Asem Alenaizan; Daniel L. Cheney; Chapin E. Cavender; C. David Sherrill,2024,,,0000-0002-5899-7953,1
10.1021/ACS.JCTC.4C00806,Automated Adaptive Absolute Binding Free Energy Calculations,Finlay Clark; Graeme R. Robb; Daniel J. Cole; Julien Michel,2024,,,0000-0003-2933-0719,1
10.1098/RSPA.2023.0343,Riemannian geometry and molecular similarity I: spectrum of the Laplacian,Stuart J. Hall; Rachael Pirie; Daniel J. Cole,2024,,,0000-0003-2933-0719,1
10.1039/D4MD00160E,An analysis of the physicochemical properties of oral drugs from 2000 to 2022,Rachael Pirie; Harriet A. Stanway-Gordon; Hannah L. Stewart; Kirsty L. Wilson; Summer Patton; Jack Tyerman; Daniel J. Cole; Katherine Fowler; Michael J. Waring,2024,,,0000-0003-2933-0719; 0000-0003-2933-0719; 0000-0003-2933-0719,1
10.1021/ACS.JCTC.4C01145,Leveraging a Separation of States Method for Relative Binding Free Energy Calculations in Systems with Trapped Waters,Swapnil Wagle; Pascal T. Merz; Yunhui Ge; Christopher I. Bayly; David L. Mobley,2024,,,0000-0002-1083-5533,1
10.1021/ACS.JCIM.4C01364,Kinetics-Based State Definitions for Discrete Binding Conformations of T4 L99A in MD via Markov State Modeling,Chris Zhang; Meghan Osato; David L. Mobley,2024,,,0000-0002-1083-5533,1
10.1002/JCC.27365,Impact of protein conformations on binding free energy calculations in the beta‐secretase 1 system,Hannah M. Baumann; David L. Mobley,2024,,,0000-0002-1083-5533,1
10.1021/ACS.JCIM.4C00417,Current State of Open Source Force Fields in Protein–Ligand Binding Affinity Predictions,David F. Hahn; Vytautas Gapsys; Bert L. de Groot; David L. Mobley; Gary Tresadern,2024,,,0000-0002-1083-5533,1
10.1021/ACS.JCIM.4C00232,Building Block-Centric Approach to DNA-Encoded Library Design,Patrick R. Fitzgerald; Anjali Dixit; Chris Zhang; David L. Mobley; Brian M. Paegel,2024,,,0000-0002-1083-5533,1
10.1039/D3CP05111K,The SAMPL9 host–guest blind challenge: an overview of binding free energy predictive accuracy,Martin Amezcua; Jeffry Setiadi; David L. Mobley,2024,,,0000-0002-1083-5533,1
10.1021/ACS.JPCA.4C01287,EspalomaCharge: Machine Learning-Enabled Ultrafast Partial Charge Assignment,Yuanqing Wang; Iván Pulido; Kenichiro Takaba; Benjamin Kaminow; Jenke Scheen; Lily Wang; John D. Chodera,2024,,,0000-0002-6095-6704,1
10.1021/ACS.JCTC.4C01153,"Correction to “BAT2: an Open-Source Tool for Flexible, Automated, and Low Cost Absolute Binding Free Energy Calculations”",Germano Heinzelmann; David J. Huggins; Michael K. Gilson,2024,,,0000-0002-3375-1738,1
10.26434/CHEMRXIV-2024-V9CKG,BindingDB in 2024: a FAIR Knowledgebase of Protein-Small Molecule Binding Data,Tiqing Liu; Linda Hwang; Stephen K Burley; Carmen I Nitsche; Christopher Southan; W. Patrick Walters; Michael K. Gilson,2024,,,0000-0002-3375-1738,1
10.1021/ACS.JCTC.4C00205,"BAT2: an Open-Source Tool for Flexible, Automated, and Low Cost Absolute Binding Free Energy Calculations",Germano Heinzelmann; David J. Huggins; Michael K. Gilson,2024,,,0000-0002-3375-1738,1
10.1021/ACS.JCTC.4C00407,"Rapid, Accurate, Ranking of Protein–Ligand Binding Affinities with VM2, the Second-Generation Mining Minima Method",Michael K. Gilson; Lawrence E. Stewart; Michael J. Potter; Simon P. Webb,2024,,,0000-0002-3375-1738,1
10.1021/ACS.JCIM.4C00485,Ligand-Based Compound Activity Prediction via Few-Shot Learning,Peter Eckmann; Jake Anderson; Rose Yu; Michael K. Gilson,2024,,,0000-0002-3375-1738,1
10.26434/CHEMRXIV-2024-TR710-V3,"Rapid, Accurate, Ranking of Protein-Ligand Binding Affinities with VM2, the 2nd –Generation Mining Minima Method",Michael K. Gilson; Lawrence E. Stewart; Michael J. Potter; Simon P. Webb,2024,,,0000-0002-3375-1738,1
10.26434/CHEMRXIV-2024-TR710-V2,"Rapid, Accurate, Ranking of Protein-Ligand Binding Affinities with VM2, the 2nd –Generation Mining Minima Method",Michael K. Gilson; Lawrence E. Stewart; Michael J. Potter; Simon P. Webb,2024,,,0000-0002-3375-1738,1
10.26434/CHEMRXIV-2024-TR710,"Rapid, Accurate, Ranking of Protein-Ligand Binding Affinities with VM2, the 2nd –Generation Mining Minima Method",Michael K. Gilson; Lawrence E. Stewart; Michael J. Potter; Simon P. Webb,2024,,,0000-0002-3375-1738,1
10.26434/CHEMRXIV-2023-XGHMD-V4,The Free Energy Density of a Fluid and its Role in Solvation and Binding,Michael K. Gilson; Tom Kurtzman,2024,,,0000-0002-3375-1738,1
10.1039/D3CP05347D,Host–guest systems for the SAMPL9 blinded prediction challenge: phenothiazine as a privileged scaffold for binding to cyclodextrins,Brenda Andrade; Ashley Chen; Michael K. Gilson,2024,,,0000-0002-3375-1738,1
10.1016/J.MEMSCI.2024.123233,Interpreting effective energy barriers to membrane permeation in terms of a heterogeneous energy landscape,Nathanael S. Schwindt; Mor Avidar; Razi Epsztein; Anthony P. Straub; Michael R. Shirts,2024,,,0000-0003-3249-1097,1
10.1021/ACSCHEMBIO.4C00243,Rationalizing Diverse Binding Mechanisms to the Same Protein Fold: Insights for Ligand Recognition and Biosensor Design,Alison C. Leonard; Anika J. Friedman; Rachel Chayer; Brian M. Petersen; Janty Woojuh; Zenan Xing; Sean R. Cutler; Joel L. Kaar; Michael R. Shirts; Timothy A. Whitehead,2024,,,0000-0003-3249-1097,1
10.1021/ACS.JCTC.4C00520,"Assessing the Accuracy and Efficiency of Free Energy Differences Obtained from
                    <i>Reweighted</i>
                    Flow-Based Probabilistic Generative Models",Edgar Olehnovics; Yifei Michelle Liu; Nada Mehio; Ahmad Y. Sheikh; Michael R. Shirts; Matteo Salvalaglio,2024,,,0000-0003-3249-1097,1
10.1021/ACS.JCTC.4C00484,Replica Exchange of Expanded Ensembles: A Generalized Ensemble Approach with Enhanced Flexibility and Parallelizability,Wei-Tse Hsu; Michael R. Shirts,2024,,,0000-0003-3249-1097,1
10.1016/J.MEMSCI.2024.122927,Molecular fingerprint-aided prediction of organic solute rejection in reverse osmosis and nanofiltration,Sangsuk Lee; Michael R. Shirts; Anthony P. Straub,2024,,,0000-0003-3249-1097,1
10.1016/J.BPJ.2024.02.007,Coiled-coil domains are sufficient to drive liquid-liquid phase separation in protein models,Dominique A. Ramirez; Loren E. Hough; Michael R. Shirts,2024,,,0000-0003-3249-1097,1
10.1021/ACS.JCIM.3C01691,Parameterization of General Organic Polymers within the Open Force Field Framework,Connor M. Davel; Timotej Bernat; Jeffrey R. Wagner; Michael R. Shirts,2024,,,0000-0003-3249-1097,1
10.1021/ACS.JCTC.3C00139,Comparison of Receptor–Ligand Restraint Schemes for Alchemical Absolute Binding Free Energy Calculations,Finlay Clark; Graeme Robb; Daniel J. Cole; Julien Michel,2023,,,0000-0003-2933-0719,1
10.26434/CHEMRXIV-2023-28R9S,A transferable double exponential potential for condensed phase simulations of small molecules,Joshua Horton; Simon Boothroyd; Pavan Behara; David Mobley; Daniel Cole,2023,,,0000-0003-2933-0719,1
10.1021/ACS.JCTC.2C01123,What is the Optimal Dipole Moment for Nonpolarizable Models of Liquids?,Miguel Jorge; Maria Cecilia Barrera; Andrew W. Milne; Chris Ringrose; Daniel J. Cole,2023,,,0000-0003-2933-0719,1
10.1021/ACS.JCTC.3C00282,Broadening the Scope of Binding Free Energy Calculations Using a Separated Topologies Approach,Hannah M. Baumann; Eric Dybeck; Christopher L. McClendon; Frank C. Pickard; Vytautas Gapsys; Laura Pérez-Benito; David F. Hahn; Gary Tresadern; Alan M. Mathiowetz; David L. Mobley,2023,,,0000-0002-1083-5533,1
10.1021/ACS.JCIM.2C01579,"To Design Scalable Free Energy Perturbation Networks, Optimal Is Not Enough",Mary Pitman; David F. Hahn; Gary Tresadern; David L. Mobley,2023,,,0000-0002-1083-5533,1
10.1021/ACS.JCTC.2C00823,Enhanced Grand Canonical Sampling of Occluded Water Sites Using Nonequilibrium Candidate Monte Carlo,Oliver J. Melling; Marley L. Samways; Yunhui Ge; David L. Mobley; Jonathan W. Essex,2023,,,0000-0002-1083-5533,1
10.1107/S2059798322011871,Molecular-dynamics simulation methods for macromolecular crystallography,David C. Wych; Phillip C. Aoto; Lily Vu; Alexander M. Wolff; David L. Mobley; James S. Fraser; Susan S. Taylor; Michael E. Wall,2023,,,0000-0002-1083-5533,1
10.1002/ANGE.202302995,Einzelkettennanopartikel mit Reaktivität im sichtbaren Lichtspektrum,Kai Mundsinger; Bryan T. Tuten; Lily Wang; Kira Neubauer; Christian Kropf; Megan L. O'Mara; Christopher Barner‐Kowollik,2023,,,0000-0002-6095-6704,1
10.1002/ANIE.202302995,Visible‐Light‐Reactive Single‐Chain Nanoparticles,Kai Mundsinger; Bryan T. Tuten; Lily Wang; Kira Neubauer; Christian Kropf; Megan L. O'Mara; Christopher Barner‐Kowollik,2023,,,0000-0002-6095-6704,1
10.25080/GERUDO-F2BC6F59-00A,MDAKits: A Framework for FAIR-Compliant Molecular Simulation Analysis,Irfan Alibay; Lily Wang; Fiona Naughton; Ian Kenney; Jonathan Barnoud; Richard Gowers; Oliver Beckstein,2023,,,0000-0002-6095-6704,1
10.26434/CHEMRXIV-2023-Z5TCM-V3,Host-Guest Systems for the SAMPL9 Blinded Prediction Challenge: Phenothiazine as a Privileged Scaffold for Binding to Cyclodextrins,Brenda Andrade; Ashley Chen; Michael K. Gilson,2023,,,0000-0002-3375-1738,1
10.26434/CHEMRXIV-2023-Z5TCM-V2,Binding of Phenothiazine Drugs to Heptakis-Methylated β-Cyclodextrin Derivatives: Thermodynamics and Structure,Brenda Andrade; Ashley Chen; Michael K. Gilson,2023,,,0000-0002-3375-1738,1
10.26434/CHEMRXIV-2023-XGHMD-V3,The Free Energy Density of a Fluid and its Role in Solvation and Binding,Michael K. Gilson; Tom Kurtzman,2023,,,0000-0002-3375-1738,1
10.26434/CHEMRXIV-2023-XGHMD,The Free Energy Density of a Fluid and its Role in Solvation and Binding,Michael K. Gilson; Tom Kurtzman,2023,,,0000-0002-3375-1738,1
10.26434/CHEMRXIV-2023-XGHMD-V2,The Free Energy Density of a Fluid and its Role in Solvation and Binding,Michael K. Gilson; Tom Kurtzman,2023,,,0000-0002-3375-1738,1
10.26434/CHEMRXIV-2023-Z5TCM,Binding of Phenothiazine Drugs to Heptakis-Methylated β-Cyclodextrin Derivatives: Thermodynamics and Structure,Brenda Andrade; Ashley Chen; Michael K. Gilson,2023,,,0000-0002-3375-1738,1
10.1039/D3SC01975F,The temperature-dependence of host–guest binding thermodynamics: experimental and simulation studies,Laura M. Grimm; Jeffry Setiadi; Boryslav Tkachenko; Peter R. Schreiner; Michael K. Gilson; Frank Biedermann,2023,,,0000-0002-3375-1738,1
10.26434/CHEMRXIV-2023-F2ZXD-V2,Parameterization of general organic polymers within the Open Force Field framework,Connor M. Davel; Timotej Bernat; Jeffrey R. Wagner; Michael R. Shirts,2023,,,0000-0003-3249-1097; 0000-0003-3249-1097,1
10.1021/ACS.JPCB.3C03791,Biophysical Rationale for the Selective Inhibition of PTP1B over TCPTP by Nonpolar Terpenoids,Anika J. Friedman; Hannah M. Padgette; Levi Kramer; Evan T. Liechty; Gregory W. Donovan; Jerome M. Fox; Michael R. Shirts,2023,,,0000-0003-3249-1097; 0000-0003-3249-1097,1
10.26434/CHEMRXIV-2023-F2ZXD,Parameterization of general organic polymers within the Open Force Field framework,Connor M. Davel; Timotej Bernat; Jeffrey R. Wagner; Michael R. Shirts,2023,,,0000-0003-3249-1097,1
10.1002/PRO.4719,Analysis of neutral mutational drift in an allosteric enzyme,Evan T. Liechty; Andrew Hren; Levi Kramer; Gregory Donovan; Anika J. Friedman; Michael R. Shirts; Jerome M. Fox,2023,,,0000-0003-3249-1097; 0000-0003-3249-1097,1
10.1101/2023.05.31.543124,Coiled-coil domains are sufficient to drive liquid-liquid phase separation of proteins in molecular models,Dominique A. Ramirez; Loren E. Hough; Michael R. Shirts,2023,,,0000-0003-3249-1097; 0000-0003-3249-1097,1
10.1101/2023.04.17.537234,A biophysical rationale for the selective inhibition of PTP1B over TCPTP by nonpolar terpenoids,Anika J. Friedman; Hannah M. Padgette; Levi Kramer; Evan T. Liechty; Gregory W. Donovan; Jerome M. Fox; Michael R. Shirts,2023,,,0000-0003-3249-1097; 0000-0003-3249-1097,1
10.1021/ACS.JCTC.2C01258,Alchemical Metadynamics: Adding Alchemical Variables to Metadynamics to Enhance Sampling in Free Energy Calculations,Wei-Tse Hsu; Valerio Piomponi; Pascal T. Merz; Giovanni Bussi; Michael R. Shirts,2023,,,0000-0003-3249-1097; 0000-0003-3249-1097,1
10.1038/S41467-023-43742-W,Programmable de novo designed coiled coil-mediated phase separation in mammalian cells,Maruša Ramšak; Dominique A. Ramirez; Loren E. Hough; Michael R. Shirts; Sara Vidmar; Kristina Eleršič Filipič; Gregor Anderluh; Roman Jerala,2023,,,0000-0003-3249-1097,1
10.1039/D2DD00138A,Using physical property surrogate models to perform accelerated multi-fidelity optimization of force field parameters,Owen C. Madin; Michael R. Shirts,2023,,,0000-0003-3249-1097,1
10.21105/JOSS.03981,physical_validation: A Python package to assess the physical validity of molecular simulation results,Pascal Merz; Wei-Tse Hsu; Matt Thompson; Simon Boothroyd; Chris Walker; Michael Shirts,2022,,,0000-0002-3456-1872; 0000-0003-3249-1097,1
10.1038/S41467-021-27790-8,A small RNA that cooperatively senses two stacked metabolites in one pocket for gene control,Griffin M. Schroeder; Chapin E. Cavender; Maya E. Blau; Jermaine L. Jenkins; David H. Mathews; Joseph E. Wedekind,2022,,,0000-0002-5899-7953,1
10.1038/S42004-022-00754-9,An open-source molecular builder and free energy preparation workflow,Mateusz K. Bieniek; Ben Cree; Rachael Pirie; Joshua T. Horton; Natalie J. Tatum; Daniel J. Cole,2022,,,0000-0003-2933-0719,1
10.1039/D2CP02864F,Exploration and validation of force field design protocols through QM-to-MM mapping,Chris Ringrose; Joshua T. Horton; Lee-Ping Wang; Daniel J. Cole,2022,,,0000-0003-2933-0719,1
10.1021/ACS.JCTC.2C00658,Absolute Binding Free Energy Calculations for Buried Water Molecules,Yunhui Ge; Hannah M. Baumann; David L. Mobley,2022,,,0000-0002-1083-5533,1
10.1007/S10822-022-00462-5,An overview of the SAMPL8 host–guest binding challenge,Martin Amezcua; Jeffry Setiadi; Yunhui Ge; David L. Mobley,2022,,,0000-0002-1083-5533,1
10.1101/2022.04.04.486986,Molecular-Dynamics Simulation Methods for Macromolecular Crystallography,David C. Wych; Phillip C. Aoto; Lily Vu; Alexander M. Wolff; David L. Mobley; James S. Fraser; Susan S. Taylor; Michael E. Wall,2022,,,0000-0002-1083-5533,1
10.1021/ACS.JCIM.1C01445,Pre-Exascale Computing of Protein–Ligand Binding Free Energies with Open Source Software for Drug Design,Vytautas Gapsys; David F. Hahn; Gary Tresadern; David L. Mobley; Markus Rampp; Bert L. de Groot,2022,,,0000-0002-1083-5533,1
10.1021/ACS.JCTC.1C00590,Enhancing Sampling of Water Rehydration on Ligand Binding: A Comparison of Techniques,Yunhui Ge; David C. Wych; Marley L. Samways; Michael E. Wall; Jonathan W. Essex; David L. Mobley,2022,,,0000-0002-1083-5533,1
10.1101/2022.01.17.476653,Capturing non-local through-bond effects in molecular mechanics force fields: II. Using fractional bond orders to fit torsion parameters,Chaya D. Stern; Jessica Maat; David L. Dotson; Christopher I. Bayly; Daniel G. A. Smith; David L. Mobley; John D. Chodera,2022,,,0000-0002-1083-5533,1
10.21105/JOSS.04100,PsiRESP: calculating RESP charges with Psi4,Lily Wang; Megan L. O’Mara,2022,,,0000-0002-6095-6704,1
10.33011/LIVECOMS.4.1.1583,Enhanced Sampling Methods for Molecular Dynamics Simulations [Article v1.0],Jérôme Hénin; Tony Lelièvre; Michael R. Shirts; Omar Valsson; Lucie Delemotte,2022,,,0000-0003-3249-1097,1
10.1021/ACS.JPCB.2C06119,Obtaining and Characterizing Stable Bicontinuous Cubic Morphologies and Their Nanochannels in Lyotropic Liquid Crystal Membranes,Subin Sahu; Nathanael S. Schwindt; Benjamin J. Coscia; Michael R. Shirts,2022,,,0000-0003-3249-1097; 0000-0003-3249-1097,1
10.1021/ACS.JPCB.2C05423,Allosteric Inhibition of PTP1B by a Nonpolar Terpenoid,Anika J. Friedman; Evan T. Liechty; Levi Kramer; Ankur Sarkar; Jerome M. Fox; Michael R. Shirts,2022,,,0000-0003-3249-1097; 0000-0003-3249-1097,1
10.1021/ACS.JCTC.2C00519,Folding Coarse-Grained Oligomer Models with PyRosetta,Theodore L. Fobe; Christopher C. Walker; Garrett A. Meek; Michael R. Shirts,2022,,,0000-0003-3249-1097; 0000-0003-3249-1097,1
10.1021/ACS.MACROMOL.2C00881,How Cooperatively Folding Are Homopolymer Molecular Knots?,Christopher C. Walker; Theodore L. Fobe; Michael R. Shirts,2022,,,0000-0003-3249-1097; 0000-0003-3249-1097,1
10.1101/2022.05.18.492571,Allosteric Inhibition of PTP1B by a Nonpolar Terpenoid,Anika J. Friedman; Evan T. Liechty; Levi Kramer; Ankur Sarkar; Jerome M. Fox; Michael R. Shirts,2022,,,0000-0003-3249-1097,1
10.1007/S10822-022-00453-6,Identifying signatures of proteolytic stability and monomeric propensity in O-glycosylated insulin using molecular simulation,Wei-Tse Hsu; Dominique A. Ramirez; Tarek Sammakia; Zhongping Tan; Michael R. Shirts,2022,,,0000-0003-3249-1097; 0000-0003-3249-1097,1
10.26434/CHEMRXIV-2022-WPN9C-V2,Folding Coarse-Grained Oligomer Models with PyRosetta,Theodore L. Fobe; Christopher C. Walker; Garrett A. Meek; Michael R. Shirts,2022,,,0000-0003-3249-1097,1
10.26434/CHEMRXIV-2021-GSGR4-V3,Improving force field accuracy by training against condensed phase mixture properties,Simon Boothroyd; Owen Madin; David Mobley; Lee-Ping Wang; John Chodera; Michael Shirts,2022,,,0000-0003-3249-1097,1
10.1101/2021.09.27.462007,Pre-mRNA Splicing Factor U2AF2 Recognizes Distinct Conformations of Nucleotide Variants at the Center of the pre-mRNA Splice Site Signal,Eliezra Glasser; Debanjana Maji; Giulia Biancon; Anees Mohammed Keedakkatt Puthenpeedikakkal; Chapin E. Cavender; Toma Tebaldi; Mary J. Pulvino; Jermaine L. Jenkins; David H. Mathews; Stephanie Halene; Clara L. Kielkopf,2021,,,0000-0002-5899-7953,1
10.1021/ACS.JCTC.1C00647,Linear Atomic Cluster Expansion Force Fields for Organic Molecules: Beyond RMSE,Dávid Péter Kovács; Cas van der Oord; Jiri Kucera; Alice E. A. Allen; Daniel J. Cole; Christoph Ortner; Gábor Csányi,2021,,,0000-0003-2933-0719,1
10.1002/QUA.26799,On assessing functional errors in density functional theory using atomisation energies and electric field gradients,Josh D. Littlefair; Daniel J. Cole; Thomas J. Penfold,2021,,,0000-0003-2933-0719,1
10.1021/ACS.JCTC.1C00135,Modeling Molecular Emitters in Organic Light-Emitting Diodes with the Quantum Mechanical Bespoke Force Field,Lupeng Yang; Joshua T. Horton; Michael C. Payne; Thomas J. Penfold; Daniel J. Cole,2021,,,0000-0003-2933-0719,1
10.1021/ACS.JCIM.1C00328,Implementation of the QUBE Force Field in SOMD for High-Throughput Alchemical Free-Energy Calculations,Lauren Nelson; Sofia Bariami; Chris Ringrose; Joshua T. Horton; Vadiraj Kurdekar; Antonia S. J. S. Mey; Julien Michel; Daniel J. Cole,2021,,,0000-0003-2933-0719,1
10.3390/IJMS222312624,Enhancing Paraoxon Binding to Organophosphorus Hydrolase Active Site,Léa El Khoury; David L. Mobley; Dongmei Ye; Susan B. Rempe,2021,,,0000-0002-1083-5533; 0000-0002-1083-5533,1
10.1007/S10822-021-00397-3,"Evaluation of log P, pKa, and log D predictions from the SAMPL7 blind challenge",Teresa Danielle Bergazin; Nicolas Tielker; Yingying Zhang; Junjun Mao; M. R. Gunner; Karol Francisco; Carlo Ballatore; Stefan M. Kast; David L. Mobley,2021,,,0000-0002-1083-5533,1
10.1101/2021.06.14.448350,Enhancing Sampling of Water Rehydration on Ligand Binding: A Comparison of Techniques,Yunhui Ge; David C. Wych; Marley L. Samways; Michael E. Wall; Jonathan W. Essex; David L. Mobley,2021,,,0000-0002-1083-5533,1
10.1021/ACS.JPCB.0C10263,Challenges Encountered Applying Equilibrium and Nonequilibrium Binding Free Energy Calculations,Hannah M. Baumann; Vytautas Gapsys; Bert L. de Groot; David L. Mobley,2021,,,0000-0002-1083-5533,1
10.1007/S10822-020-00367-1,Improving small molecule force fields by identifying and characterizing small molecules with inconsistent parameters,Jordan N. Ehrman; Victoria T. Lim; Caitlin C. Bannan; Nam Thi; Daisy Y. Kyu; David L. Mobley,2021,,,0000-0002-1083-5533,1
10.1021/ACS.JCIM.0C01424,A Benchmark of Electrostatic Method Performance in Relative Binding Free Energy Calculations,Yunhui Ge; David F. Hahn; David L. Mobley,2021,,,0000-0002-1083-5533,1
10.1007/S10822-020-00362-6,Overview of the SAMPL6 pKa challenge: evaluating small molecule microscopic and macroscopic pKa predictions,Mehtap Işık; Ariën S. Rustenburg; Andrea Rizzi; M. R. Gunner; David L. Mobley; John D. Chodera,2021,,,0000-0002-1083-5533,1
10.1021/ACS.JCTC.0C00752,Reversibly Sampling Conformations and Binding Modes Using Molecular Darting,Samuel C. Gill; David L. Mobley,2021,,,0000-0002-1083-5533,1
10.1021/ACSINFECDIS.0C00735,"Structural and Molecular Dynamics of
                    <i>Mycobacterium tuberculosis</i>
                    Malic Enzyme, a Potential Anti-TB Drug Target",Kalistyn H. Burley; Bonnie J. Cuthbert; Piyali Basu; Jane Newcombe; Ervin M. Irimpan; Robert Quechol; Ilona P. Foik; David L. Mobley; Dany J. V. Beste; Celia W. Goulding,2021,,,0000-0002-1083-5533,1
10.1007/S10822-020-00363-5,SAMPL7 Host–Guest Challenge Overview: assessing the reliability of polarizable and non-polarizable methods for binding free energy calculations,Martin Amezcua; Léa El Khoury; David L. Mobley,2021,,,0000-0002-1083-5533,1
10.1039/D1SC02751D,Temperature artifacts in protein structures bias ligand-binding predictions,Shanshan Y. C. Bradford; Léa El Khoury; Yunhui Ge; Meghan Osato; David L. Mobley; Marcus Fischer,2021,,,0000-0002-1083-5533,1
10.1021/ACSCHEMNEURO.1C00395,Site of Cholesterol Oxidation Impacts Its Localization and Domain Formation in the Neuronal Plasma Membrane,Katie A. Wilson; Lily Wang; Megan L. O’Mara,2021,,,0000-0002-6095-6704,1
10.1021/ACS.JCTC.1C00414,Effect of the Force Field on Molecular Dynamics Simulations of the Multidrug Efflux Protein P-Glycoprotein,Lily Wang; Megan L. O’Mara,2021,,,0000-0002-6095-6704,1
10.1063/5.0040887,"The role of plasmalogens, Forssman lipids, and sphingolipid hydroxylation in modulating the biophysical properties of the epithelial plasma membrane",Katie A. Wilson; Stephen J. Fairweather; Hugo I. MacDermott-Opeskin; Lily Wang; Richard A. Morris; Megan L. O’Mara,2021,,,0000-0002-6095-6704,1
10.1101/2021.01.20.427530,Lipid fingerprints are similar between SLC6 transporters in the neuronal membrane,Katie A. Wilson; Lily Wang; Yie Chang Lin; Megan L. O’Mara,2021,,,0000-0002-6095-6704,1
10.1021/ACS.JCTC.1C00867,Fast Equilibration of Water between Buried Sites and the Bulk by Molecular Dynamics with Parallel Monte Carlo Water Moves on Graphical Processing Units,Ido Y. Ben-Shalom; Charles Lin; Brian K. Radak; Woody Sherman; Michael K. Gilson,2021,,,0000-0002-3375-1738,1
10.1021/ACS.JCIM.1C00511,Improving Structure-Based Virtual Screening with Ensemble Docking and Machine Learning,Joel Ricci-Lopez; Sergio A. Aguila; Michael K. Gilson; Carlos A. Brizuela,2021,,,0000-0002-3375-1738,1
10.1021/ACS.JCIM.1C00656,Correction to Alignment-Free Antimicrobial Peptide Predictors: Improving Performance by a Thorough Analysis of the Largest Available Data Set,Sergio A. Pinacho-Castellanos; César R. García-Jacas; Michael K. Gilson; Carlos A. Brizuela,2021,,,0000-0002-3375-1738,1
10.1039/D0CP06685K,Mechanistic analysis of light-driven overcrowded alkene-based molecular motors by multiscale molecular simulations,Mudong Feng; Michael K. Gilson,2021,,,0000-0002-3375-1738,1
10.1021/ACS.JCTC.1C00513,Expanded Ensemble Methods Can be Used to Accurately Predict Protein-Ligand Relative Binding Free Energies,Si Zhang; David F. Hahn; Michael R. Shirts; Vincent A. Voelz,2021,,,0000-0003-3249-1097; 0000-0003-3249-1097,1
10.1021/ACS.JCTC.1C00528,Using a Coarse-Grained Modeling Framework to Identify Oligomeric Motifs with Tunable Secondary Structure,Christopher C. Walker; Garrett A. Meek; Theodore L. Fobe; Michael R. Shirts,2021,,,0000-0003-3249-1097; 0000-0003-3249-1097,1
10.33774/CHEMRXIV-2021-JZ3ZQ,"The Open Force Field Evaluator: An automated, efficient, and scalable framework for the estimation of physical properties from molecular simulation",Simon Boothroyd; Lee-Ping Wang; David Mobley; John Chodera; Michael Shirts,2021,,,0000-0003-3249-1097,1
10.26434/CHEMRXIV-2021-JZ3ZQ,"The Open Force Field Evaluator: An automated, efficient, and scalable framework for the estimation of physical properties from molecular simulation",Simon Boothroyd; Lee-Ping Wang; David Mobley; John Chodera; Michael Shirts,2021,,,0000-0003-3249-1097,1
10.1021/ACS.ORGLETT.1C01592,Potential Foldamers Based on an <i>ortho-</i>Terphenyl Amino Acid,Adam F. Kleman; Deseree L. Dufek; Theodore L. Fobe; Darrell R. McCaslin; Brian P. Cary; Michael R. Shirts; Samuel H. Gellman,2021,,,0000-0003-3249-1097; 0000-0003-3249-1097,1
10.26434/CHEMRXIV.14687463,Using a Coarse-Grained Modeling Framework to Identify Oligomeric Motifs with Tunable Secondary Structure,Christopher Walker; Garrett Meek; Theodore Fobe; Michael R. Shirts,2021,,,0000-0003-3249-1097,1
10.26434/CHEMRXIV.14687463.V1,Using a Coarse-Grained Modeling Framework to Identify Oligomeric Motifs with Tunable Secondary Structure,Christopher Walker; Garrett Meek; Theodore Fobe; Michael R. Shirts,2021,,,0000-0003-3249-1097,1
10.26434/CHEMRXIV.14665662,Expanded Ensemble Methods Can Be Used to Accurately Predict Protein-Ligand Relative Binding Free Energies,Si Zhang; David Hahn; Michael R. Shirts; Vincent Voelz,2021,,,0000-0003-3249-1097,1
10.26434/CHEMRXIV.14665662.V1,Expanded Ensemble Methods Can Be Used to Accurately Predict Protein-Ligand Relative Binding Free Energies,Si Zhang; David Hahn; Michael R. Shirts; Vincent Voelz,2021,,,0000-0003-3249-1097,1
10.1021/JACS.0C09689,Arginine Forks Are a Widespread Motif to Recognize Phosphate Backbones and Guanine Nucleobases in the RNA Major Groove,Sai Shashank Chavali; Chapin E. Cavender; David H. Mathews; Joseph E. Wedekind,2020,,,0000-0002-5899-7953,1
10.1021/ACS.JPCLETT.0C03123,Static Disorder in Excitation Energies of the Fenna–Matthews–Olson Protein: Structure-Based Theory Meets Experiment,Marten L. Chaillet; Florian Lengauer; Julian Adolphs; Frank Müh; Alexander S. Fokas; Daniel J. Cole; Alex W. Chin; Thomas Renger,2020,,,0000-0003-2933-0719,1
10.1038/S42005-019-0270-1,Superexchange mechanism and quantum many body excitations in the archetypal di-Cu oxo-bridge,Mohamed Ali al-Badri; Edward Linscott; Antoine Georges; Daniel J. Cole; Cédric Weber,2020,,,0000-0003-2933-0719,1
10.1021/ACS.JCTC.0C00162,ONETEP + TOSCAM: Uniting Dynamical Mean Field Theory and Linear-Scaling Density Functional Theory,Edward B. Linscott; Daniel J. Cole; Nicholas D. M. Hine; Michael C. Payne; Cédric Weber,2020,,,0000-0003-2933-0719; 0000-0003-2933-0719,1
